id,name,RA,DEC,const,mag,cname
130,Ogma,16.50822726666667,38.347311,Her,8.16,HD149026
131,Alphard,9.459789800000001,-8.658602,Hya,1.99,HR3748
132,Regulus,10.1395308,11.967209,Leo,1.36,HR3982
133,Denebola,11.81766066666667,14.572058,Leo,2.14,HR4534
134,Algieba,10.33287626666667,19.841489,Leo,2.61,HR4057
135,Zosma,11.23513926666667,20.523718,Leo,2.56,HR4357
136,Adhafera,10.27817113333333,23.417312,Leo,3.43,HR4031
137,Chertan,11.2373346,15.429571,Leo,3.33,HR4359
138,Rasalas,9.879393533333333,26.006953,Leo,3.88,HR3905
139,Subra,9.685842666666666,9.892308,Leo,3.52,HR3852
140,Arneb,5.545504466666667,-17.822289,Lep,2.58,HR1865
141,Nihal,5.4707564,-20.759441,Lep,2.81,HR1829
142,Zubenelgenubi,14.84797586666667,-16.041777,Lib,2.75,HR5531
143,Zubeneschamali,15.28344826666667,-9.382914,Lib,2.61,HR5685
144,Vega,18.615649,38.783689,Lyr,0.03,HR7001
145,Sheliak,18.8346652,33.362668,Lyr,3.52,HR7106
146,Sulafat,18.9823952,32.689557,Lyr,3.25,HR7178
147,Rasalhague,17.5822418,12.560035,Oph,2.08,HR6556
148,Cebalrai,17.7245424,4.5673,Oph,2.76,HR6603
149,YedPrior,16.23909406666667,-3.694323,Oph,2.73,HR6056
150,YedPosterior,16.30535826666667,-4.69251,Oph,3.23,HR6075
151,Sabik,17.1729686,-15.724907,Oph,2.43,HR6378
152,Marfik,16.5152302,1.983888,Oph,3.82,HR6149
153,Betelgeuse,5.919529266666667,7.407064,Ori,0.45,HR2061
154,Rigel,5.2422978,-8.201638000000001,Ori,0.18,HR1713
155,Bellatrix,5.418850933333333,6.349703,Ori,1.64,HR1790
156,Mintaka,5.533444466666666,-0.299095,Ori,2.25,HR1852
157,Alnilam,5.603559266666666,-1.201919,Ori,1.69,HR1903
158,Alnitak,5.679312933333334,-1.942574,Ori,1.74,HR1948
159,Saiph,5.795941333333333,-9.669605000000001,Ori,2.07,HR2004
160,Meissa,5.5856324,9.934156,Ori,3.39,HR1879
161,Peacock,20.42746026666666,-56.73509,Pav,1.94,HR7790
162,Markab,23.0793482,15.205267,Peg,2.49,HR8781
163,Scheat,23.0629048,28.082785,Peg,2.44,HR8775
164,Algenib,0.2205975333333333,15.183594,Peg,2.83,HR39
165,Enif,21.73643226666667,9.875009,Peg,2.38,HR8308
166,Homam,22.69103353333333,10.831363,Peg,3.41,HR8634
167,Matar,22.71670526666667,30.221244,Peg,2.93,HR8650
168,Biham,22.16999593333333,6.197863,Peg,3.52,HR8450
169,Sadalbari,22.83338726666667,24.601577,Peg,3.51,HR8684
170,Helvetios,22.9577722,20.768831,Peg,5.49,HR8729
171,Mirfak,3.4053806,49.861179,Per,1.79,HR1017
172,Algol,3.136147666666667,40.955648,Per,2.09,HR936
173,Menkib,3.9827502,35.791032,Per,3.98,HR1228
174,Atik,3.738648,32.28824,Per,3.84,HR1131
175,Ankaa,0.4380626,-42.306084,Phe,2.4,HR99
176,Alrescha,2.034118133333333,2.763735,Psc,3.82,HR596
177,Fomalhaut,22.9608462,-29.622237,PsA,1.17,HR8728
178,Naos,8.059735399999999,-40.003148,Pup,2.21,HR3165
179,Tureis,8.125735800000001,-24.304324,Pup,2.83,HR3185
180,Antares,16.49012766666667,-26.432003,Sco,1.06,HR6134
181,Acrab,16.09062,-19.805453,Sco,2.56,HR5984
182,Dschubba,16.00555726666667,-22.62171,Sco,2.29,HR5953
183,Sargas,17.62198073333333,-42.997824,Sco,1.86,HR6553
184,Shaula,17.56014446666667,-37.103824,Sco,1.62,HR6527
185,Lesath,17.51273193333333,-37.295813,Sco,2.7,HR6508
186,Sham,19.66827553333333,18.013891,Sge,4.39,HR7479
187,Rukbat,19.39810466666666,-40.61594,Sgr,3.96,HR7348
188,ArkabPrior,19.3773034,-44.458959,Sgr,3.96,HR7337
189,ArkabPosterior,19.38698266666667,-44.799779,Sgr,4.27,HR7343
190,Alnasl,18.09680166666666,-30.4241,Sgr,2.98,HR6746
191,KausMedia,18.34990053333334,-29.828104,Sgr,2.72,HR6859
192,KausAustralis,18.4028662,-34.384616,Sgr,1.79,HR6879
193,Ascella,19.0435362,-29.880063,Sgr,2.6,HR7194
194,KausBorealis,18.46617786666667,-25.421701,Sgr,2.82,HR6913
195,Nunki,18.92109066666666,-26.296724,Sgr,2.05,HR7121
196,Unukalhai,15.7377984,6.425629,Ser,2.63,HR5854
197,Alya,18.9369966,4.203602,Ser,4.62,HR7141
198,Aldebaran,4.598677533333333,16.509302,Tau,0.87,HR1457
199,Elnath,5.438198066666667,28.607452,Tau,1.65,HR1791
200,Ain,4.4769442,19.180435,Tau,3.53,HR1409
201,Alcyone,3.791410133333333,24.105136,Tau,2.85,HR1165
202,Celaeno,3.7467262,24.289468,Tau,5.45,HR1140
203,Electra,3.747926933333333,24.113336,Tau,3.72,HR1142
204,Taygeta,3.753470866666667,24.46727,Tau,4.3,HR1145
205,Maia,3.763779666666667,24.367751,Tau,3.87,HR1149
206,Asterope,3.765132466666667,24.554512,Tau,5.76,HR1151
207,Merope,3.772103466666667,23.948348,Tau,4.14,HR1156
208,Atlas,3.819373133333333,24.053415,Tau,3.62,HR1178
209,Pleione,3.819782533333333,24.13671,Tau,5.05,HR1180
210,Mothallah,1.884696666666667,29.578826,Tri,3.42,HR544
211,Atria,16.81108193333333,-69.02771199999999,TrA,1.91,HR6217
212,Dubhe,11.062131,61.751035,UMa,1.81,HR4301
213,Merak,11.03068793333333,56.382426,UMa,2.34,HR4295
214,Phecda,11.8971786,53.694758,UMa,2.41,HR4554
215,Megrez,12.2571002,57.032615,UMa,3.32,HR4660
216,Alioth,12.900486,55.959823,UMa,1.76,HR4905
217,Mizar,13.39876193333333,54.925362,UMa,2.23,HR5054
218,Alkaid,13.7923438,49.313267,UMa,1.85,HR5191
219,Talitha,8.986792666666666,48.041826,UMa,3.12,HR3569
220,TaniaBorealis,10.28493966666667,42.914356,UMa,3.45,HR4033
